athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
eq_39a10dc832e8,Avery,Adamson,Psychology,,,,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Reining,Reining,So.,So,"Oklahoma City, OK",Oklahoma City,OK,domestic,Edmond Memorial HS '24,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_c1aa874ee11a,Maddie,Allen,"Biochemistry, Molecular Biology",,,,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Hunt Seat,Hunt Seat,Fr.,Fr,"Pleasant Hill, Calif.",Pleasant Hill,CA,domestic,,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_912546bf0b3c,Alethea,Bergad,Animal Science,,,,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Hunt Seat,Hunt Seat,Sr.,Sr,"Chester, NJ",Chester,NJ,domestic,West Morris Mendham '21,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_a041cce740be,Sophia,Blake,Animal Science,,,,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Hunt Seat,Hunt Seat,So.,So,"Santa Barbara, Calif.",Santa Barbara,CA,domestic,San Marcos High School,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_2f7f2971cf59,Addyson,Brown,Management Economics,,,,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Horsemanship,Horsemanship,Fr.,Fr,"Fennville, Mich.",Fennville,MI,domestic,,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_7de6b6194754,Alexa,Brown,Forensic Chemistry,,,,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Horsemanship,Horsemanship,So.,So,"Valley Center, Calif.",Valley Center,CA,domestic,Valley Center HS '24,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_897c149eb21b,Mya,Clader,Human Development,,,,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Reining,Reining,Sr.,Sr,"Newcastle, Calif.",Newcastle,CA,domestic,,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_01c4bd929633,Aya,Clear,Psychology,,,,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Hunt Seat,Hunt Seat,Sr.,Sr,"Piedmont, Calif.",Piedmont,CA,domestic,,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_5a3c3dd53d40,Sabine,Close,History,,,,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Hunt Seat,Hunt Seat,So.,So,"San Carlos, Calif.",San Carlos,CA,domestic,Laurel Springs '24,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_a03954db9891,Blair,Conlan,Agriculture and Environmental Technology,,,,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Hunt Seat,Hunt Seat,So.,So,"Portola Valley, Calif.",Portola Valley,CA,domestic,Woodside HS '24,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_bf01b3c11acf,Anna,Donovan,Psychology,,,,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Hunt Seat,Hunt Seat,So.,So,"Greenwich, CT",Greenwich,CT,domestic,Greenwich HS '24,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_23430ce7829b,Katya,Dundas,Animal Science,,5-7,67.0,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Horsemanship Horsemanship,Horsemanship,Sr.,Sr,"Tustin, Calif.",Tustin,CA,domestic,Newport Christian,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_5238e6322710,Chloe,Fares,Applied Mathematics,,,,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Hunt Seat,Hunt Seat,So.,So,"Bloomfield, CT",Bloomfield,CT,domestic,Ethel Walker School,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_7f84f32336cd,Madeleine,Gleason,Communications,,,,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Horsemanship,Horsemanship,Sr.,Sr,"Redwood City, Calif.",Redwood City,CA,domestic,Notre Dame Belmont,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_5c7cfb50e935,Carmen,Gonzalez,Animal Science,,,,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Hunt Seat,Hunt Seat,So.,So,"Santa Cruz, Calif.",Santa Cruz,CA,domestic,Monte Vista Christian,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_ccdf10a7ccf5,Lily,Grosz,Business,,,,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Hunt Seat,Hunt Seat,Fr.,Fr,"Huntington Beach, Calif.",Huntington Beach,CA,domestic,,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_79b072d20348,Anisa,Hajibrahim,Animal Science,,5-10,70.0,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Hunt Seat Jump Seat,Hunt Seat,Jr.,Jr,"Monument, Colo.",Monument,CO,domestic,Palmer Ridge HS,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_5bc3a6a81ea9,Kyleigh,Heikes,Animal Science,,,,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Horsemanship,Horsemanship,Fr.,Fr,"Olathe, Kan.",Olathe,KS,domestic,,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_cfae9c00efd4,Ada,Hirschfeld,Political Science,,,,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Reining,Reining,Sr.,Sr,"Kearney, Neb.",Kearney,NE,domestic,,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_9834c50d8f89,Laura,Kate Holliday,Biological Sciences,,,,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Horsemanship,Horsemanship,Jr.,Jr,"Carmichael, Calif.",Carmichael,CA,domestic,St. Francis Catholic,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_42bffd9d7881,Kristen,Hwang,NPB,,,,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Hunt Seat,Hunt Seat,So.,So,"Bellevue, Wash.",Bellevue,WA,domestic,The Overlake School,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_aa8034871fa1,Kylie,Jacobson,Cognitive Science,,,,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Horsemanship,Horsemanship,Jr.,Jr,"Fall City, Wash.",Fall City,WA,domestic,,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_938a5e6f37f4,Hannah,Janicki,Design,,,,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Reining,Reining,Jr.,Jr,"Carmichael, Calif.",Carmichael,CA,domestic,,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_06f2d13eed94,Nicole,Jimenez,Animal Biology,,,,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Horsemanship,Horsemanship,Jr.,Jr,"West Simsbury, Conn.",West Simsbury,CT,domestic,,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_476f350b977d,Lauren,Kolbe,Political Science,,5-6,66.0,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Hunt Seat,Hunt Seat,Jr.,Jr,"Santa Rosa Valley, Calif.",Santa Rosa Valley,CA,domestic,Oak Park HS '23,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_99f6ff894407,Amanda,Paul,Psychology,,,,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Hunt Seat,Hunt Seat,Fr.,Fr,"Menlo Park, Calif.",Menlo Park,CA,domestic,,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_a6407a779e51,Eliza,Plum,Biology,,,,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Horsemanship,Horsemanship,So.,So,"Lebanon, OH",Lebanon,OH,domestic,Cincinnati Hills Christian,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_5a1477ed203c,Lizzy,Schulz,Managerial Economics,,,,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Reining,Reining,Jr.,Jr,"Marietta, Ga.",Marietta,GA,domestic,Carlton J Kell High School,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_80539266ef2f,Nicole,Shroyer,Communications,,5-6,66.0,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Reining,Reining,Sr.,Sr,"Novato, Calif.",Novato,CA,domestic,San Marin HS,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_068d49adfba7,Cavan,Smith,Animal Science,,,,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Hunt Seat,Hunt Seat,Fr.,Fr,"Watsonville, Calif.",Watsonville,CA,domestic,,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_365214677d97,Zadie,Stack,Human Development,,,,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Hunt Seat,Hunt Seat,So.,So,"Santa Cruz, Calif.",Santa Cruz,CA,domestic,,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_c342a26aa650,Lola,Sullivan,Managerial Economics,,5-7,67.0,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Hunt Seat,Hunt Seat,Jr.,Jr,"Portland, Ore.",Portland,OR,domestic,Lincoln HS '23,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_118433b7cf7a,Mylea,Trimble,Communications,,5-5,65.0,,,equestrian,2025-26,2025-26,D1,Women,Big West Conference,UC Davis,Reining Reining,Reining,Jr.,Jr,"Exeter, Calif.",Exeter,CA,domestic,Exeter Union HS,0,https://ucdavisaggies.com/sports/equestrian/roster/2025-26
eq_f0e02068bbd5,Nicole,Alvarado,Marketing,,,,,,equestrian,2025-26,2025-26,D3,Women,Middle Atlantic Conference Commonwealth,Alvernia,Introductory Flat,Flat,Jr.,Jr,"West Reading, Pa",West Reading,PA,domestic,Reading,0,https://auwolves.com/sports/equestrian/roster/2025-26
eq_232fc7e9403a,Nya,Barry,Nursing,,,,,,equestrian,2025-26,2025-26,D3,Women,Middle Atlantic Conference Commonwealth,Alvernia,Intermediate Flat & Limit Fences,Multi,So.,So,"Collegeville, Pa",Collegeville,PA,domestic,Perkiomen Valley,0,https://auwolves.com/sports/equestrian/roster/2025-26
eq_69249d67423e,Emmerson,Bartley,Business Management,,,,,,equestrian,2025-26,2025-26,D3,Women,Middle Atlantic Conference Commonwealth,Alvernia,Novice Flat,Flat,Sr.,Sr,"Roanoke, Va.",Roanoke,VA,domestic,Hidden Valley High School,0,https://auwolves.com/sports/equestrian/roster/2025-26
eq_36ab4b6adbbc,Olivia,Fassett,Nursing,,,,,,equestrian,2025-26,2025-26,D3,Women,Middle Atlantic Conference Commonwealth,Alvernia,Introductory Flat,Flat,Fy.,Fr,"Nicholson, Pa.",Nicholson,PA,domestic,Lackawanna Trail,0,https://auwolves.com/sports/equestrian/roster/2025-26
eq_8ce91ce71ef6,Evelyn,Gombar,Nursing,,,,,,equestrian,2025-26,2025-26,D3,Women,Middle Atlantic Conference Commonwealth,Alvernia,Novice Flat,Flat,Sr.,Sr,"Reading, Pa",Reading,PA,domestic,Governor Mifflin,0,https://auwolves.com/sports/equestrian/roster/2025-26
eq_a99ca8bbf9d2,Emma,Hackett,Nursing,,,,,,equestrian,2025-26,2025-26,D3,Women,Middle Atlantic Conference Commonwealth,Alvernia,Open Flat and Intermediate Fences,Multi,Sr.,Sr,"Douglassville, Pa.",Douglassville,PA,domestic,Daniel Boone,0,https://auwolves.com/sports/equestrian/roster/2025-26
eq_522d23a50178,Isabella,Jermyn,Finance,,,,,,equestrian,2025-26,2025-26,D3,Women,Middle Atlantic Conference Commonwealth,Alvernia,Intermediate Flat & Limit Fences,Multi,Fy.,Fr,"New Hope, Pa.",New Hope,PA,domestic,New Hope-Solebury,0,https://auwolves.com/sports/equestrian/roster/2025-26
eq_8d59e9781065,Lily,Martin,Psychology,,,,,,equestrian,2025-26,2025-26,D3,Women,Middle Atlantic Conference Commonwealth,Alvernia,Introductory Flat,Flat,Fy.,Fr,"Aston, Pa.",Aston,PA,domestic,Sun Valley,0,https://auwolves.com/sports/equestrian/roster/2025-26
eq_1c86a799b4ca,Emma,Philiposian,Occupational Therapy,,,,,,equestrian,2025-26,2025-26,D3,Women,Middle Atlantic Conference Commonwealth,Alvernia,Open Flat and Open Fences,Multi,So.,So,"Logan Township, N.J.",Logan Township,NJ,domestic,Paul VI,0,https://auwolves.com/sports/equestrian/roster/2025-26
eq_c44c326424a7,Danielle,Reich,Nursing,,,,,,equestrian,2025-26,2025-26,D3,Women,Middle Atlantic Conference Commonwealth,Alvernia,Novice Flat,Flat,Fy.,Fr,"Reinholds, Pa.",Reinholds,PA,domestic,Cocalico,0,https://auwolves.com/sports/equestrian/roster/2025-26
eq_1077492c9c5d,Bryleigh,Ahearn,,,,,,,equestrian,2025-26,2025-26,D3,Women,Independent,Adrian,Level 1,Other,Jr.,Jr,"Clinton, Mich.",Clinton,MI,domestic,Tecumseh,0,https://adrianbulldogs.com/sports/equestrian/roster/2025-26
eq_f392c2ad866c,Frank,Audette,,,,,,,equestrian,2025-26,2025-26,D3,Women,Independent,Adrian,Beginner,Other,Sr.,Sr,"Bloomfield Hills, Mich.",Bloomfield Hills,MI,domestic,Orchard Lake Saint Mary's,0,https://adrianbulldogs.com/sports/equestrian/roster/2025-26
eq_310b7789ef44,Lauren,Bartkiewicz,,,,,,,equestrian,2025-26,2025-26,D3,Women,Independent,Adrian,Beginner,Other,Jr.,Jr,"Royal Oak, Mich.",Royal Oak,MI,domestic,Bishop Foley,0,https://adrianbulldogs.com/sports/equestrian/roster/2025-26
eq_f8c82e0e8b42,Tommi,Bok,,,,,,,equestrian,2025-26,2025-26,D3,Women,Independent,Adrian,Rookie B,Other,Jr.,Jr,"Wauseon, OH",Wauseon,OH,domestic,Archbold,0,https://adrianbulldogs.com/sports/equestrian/roster/2025-26
eq_f003fbd60754,Devon,Cavaliere,,,,,,,equestrian,2025-26,2025-26,D3,Women,Independent,Adrian,Beginner,Other,Sr.,Sr,"Stamford, Conn.",Stamford,CT,domestic,St. Joseph,0,https://adrianbulldogs.com/sports/equestrian/roster/2025-26
eq_a04ea866ef92,Denae,Covey,,,,,,,equestrian,2025-26,2025-26,D3,Women,Independent,Adrian,Rookie B,Other,So.,So,"Adrian, Mich.",Adrian,MI,domestic,Sand Creek,0,https://adrianbulldogs.com/sports/equestrian/roster/2025-26
eq_f8371f1285f3,Emma,Leonard,,,,,,,equestrian,2025-26,2025-26,D3,Women,Independent,Adrian,Rookie A,Other,Jr.,Jr,"Troy, Mich.",Troy,MI,domestic,Troy Athens,0,https://adrianbulldogs.com/sports/equestrian/roster/2025-26
eq_8d60bfedda32,Corynn,Pratto,,,,,,,equestrian,2025-26,2025-26,D3,Women,Independent,Adrian,Level 2,Other,Sr.,Sr,"Hamilton, Mich.",Hamilton,MI,domestic,Hamilton High School,0,https://adrianbulldogs.com/sports/equestrian/roster/2025-26
eq_2a49dc21ac64,Grace,Slusarski,,,,,,,equestrian,2025-26,2025-26,D3,Women,Independent,Adrian,Level 2,Other,Jr.,Jr,"Adrian, Mich.",Adrian,MI,domestic,Tecumseh,0,https://adrianbulldogs.com/sports/equestrian/roster/2025-26
eq_f88dd85292a2,Baylie,Villani,,,,,,,equestrian,2025-26,2025-26,D3,Women,Independent,Adrian,Level 1,Other,So.,So,"Byron, Mich.",Byron,MI,domestic,Byron Area Schools,0,https://adrianbulldogs.com/sports/equestrian/roster/2025-26
eq_53d5bb139eb5,Christopher,Warwick,,,,,,,equestrian,2025-26,2025-26,D3,Women,Independent,Adrian,Open,Other,Sr.,Sr,"Adrian, Mich.",Adrian,MI,domestic,Madison High School,0,https://adrianbulldogs.com/sports/equestrian/roster/2025-26
eq_6efdae824bc7,Emmanuelle,Bal,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Brown,Introductory,Other,So.,So,"Chicago, Ill.",Chicago,IL,domestic,Chicago Laboratory Schools,0,https://brownbears.com/sports/equestrian/roster/2025-26
eq_724229b71107,Isabella,Cope,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Brown,Intermediate,Other,Fr.,Fr,"Oklahoma City, Okla.",Oklahoma City,OK,domestic,,0,https://brownbears.com/sports/equestrian/roster/2025-26
eq_593dd5ef481e,Catalina,Coral,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Brown,Novice,Other,Sr.,Sr,"San Mateo, Calif.",San Mateo,CA,domestic,Aragon,0,https://brownbears.com/sports/equestrian/roster/2025-26
eq_4d91ff2a5d7b,Adelynne,Crisfield,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Brown,Limit,Other,So.,So,"Portsmouth, R.I.",Portsmouth,RI,domestic,Portsmouth,0,https://brownbears.com/sports/equestrian/roster/2025-26
eq_4fd7a76b2e72,Daria,Dolgonos,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Brown,Novice,Other,So.,So,"New York, N.Y.",New York,NY,domestic,Horace Mann School,0,https://brownbears.com/sports/equestrian/roster/2025-26
eq_68edbde2cbd2,Lottie,Doughty,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Brown,Pre-Novice,Other,Sr.,Sr,"Takoma Park, Md.",Takoma Park,MD,domestic,Montgomery Blair,0,https://brownbears.com/sports/equestrian/roster/2025-26
eq_b725190cca67,Sofia,Ene,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Brown,Limit,Other,So.,So,"Bucharest, Romania",Bucharest,,international,Avenor College,0,https://brownbears.com/sports/equestrian/roster/2025-26
eq_3e010320b195,Mimi,Gochman,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Brown,Open,Other,Jr.,Jr,"New York, N.Y.",New York,NY,domestic,Spence,0,https://brownbears.com/sports/equestrian/roster/2025-26
eq_10e44be8a8be,Elle,Graham,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Brown,"Limit Flat, Limit Fences",Multi,Fr.,Fr,"Glen Ridge, N.J.",Glen Ridge,NJ,domestic,Glen Ridge,0,https://brownbears.com/sports/equestrian/roster/2025-26
eq_47d150857318,Abigail,Grove,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Brown,Novice,Other,Sr.,Sr,"Alfred, N.Y.",Alfred,NY,domestic,Alfred-Almond,0,https://brownbears.com/sports/equestrian/roster/2025-26
eq_abec68880da5,Nyah,Guari Bhat,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Brown,"Limit Flat, Limit Fences",Multi,Fr.,Fr,"Mumbai, India",Mumbai,,international,The Cathedral and John Connon School,0,https://brownbears.com/sports/equestrian/roster/2025-26
eq_c7100bdc656f,Bridget,Hickton,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Brown,"Open Fences, Intermediate Flat",Multi,Jr.,Jr,"Pittsburgh, Pa.",Pittsburgh,PA,domestic,Laurel Springs,0,https://brownbears.com/sports/equestrian/roster/2025-26
eq_a6ef74d3288b,Angela,Jin,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Brown,Introductory,Other,Fr.,Fr,"Beijing, China",Beijing,,international,Beijing National Day School,0,https://brownbears.com/sports/equestrian/roster/2025-26
eq_fa15fdacce81,Kathryn,Joukovski,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Brown,Introductory,Other,Jr.,Jr,"Templeton, Calif.",Templeton,CA,domestic,Stanford Online,0,https://brownbears.com/sports/equestrian/roster/2025-26
eq_38746f82e86a,Lana,Khalidi,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Brown,Limit,Other,So.,So,"Dubai, UAE",Dubai,,international,NAS Dubai,0,https://brownbears.com/sports/equestrian/roster/2025-26
eq_160cc862e2b2,Diqiu,Liu,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Brown,Introductory,Other,Jr.,Jr,"Beijing, China",Beijing,,international,of the Experimental,0,https://brownbears.com/sports/equestrian/roster/2025-26
eq_fc7312b6dc81,Ashley,Luo,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Brown,Pre-Novice,Other,So.,So,,,,unknown,,0,https://brownbears.com/sports/equestrian/roster/2025-26
eq_2999f8cc3937,Lauryn,Mills,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Brown,Introductory,Other,Sr.,Sr,"Annandale, Va.",Annandale,VA,domestic,Annandale,0,https://brownbears.com/sports/equestrian/roster/2025-26
eq_8eb85d1e31d6,Lanyi,Stroud,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Brown,Introductory,Other,So.,So,"Arlington, Va.",Arlington,VA,domestic,Yorktown,0,https://brownbears.com/sports/equestrian/roster/2025-26
eq_fe5365858cc5,Micaela,Winthrop,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Brown,"Intermediate Fences, Limit Flat",Multi,Fr.,Fr,"Marin County, Calif.",Marin County,CA,domestic,The Urban School,0,https://brownbears.com/sports/equestrian/roster/2025-26
eq_0f8c118f68d4,Jenny,You,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Brown,Pre-Novice,Other,So.,So,"Rockville, Maryland",Rockville,MD,domestic,Montgomery Blair,0,https://brownbears.com/sports/equestrian/roster/2025-26
eq_6f6b7a25cd36,Halle,Avratin,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Cornell,Intermediate Fences,Fences,Sr.,Sr,"Orchard Park, N.Y.",Orchard Park,NY,domestic,Orchard Park High School,0,https://cornellbigred.com/sports/equestrian/roster/2025-26
eq_e514dac3fa95,Estelle,Azurin,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Cornell,Limit Flat/Limit Fences,Multi,So.,So,"Orchard Park, N.Y.",Orchard Park,NY,domestic,Orchard Park High School,0,https://cornellbigred.com/sports/equestrian/roster/2025-26
eq_3d443e3a3808,Clara,Beck,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Cornell,Intermediate Fences,Fences,Sr.,Sr,"Titusville, Pa.",Titusville,PA,domestic,Venango Catholic,0,https://cornellbigred.com/sports/equestrian/roster/2025-26
eq_bbf3488569cd,Milla,Berg,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Cornell,Novice,Other,Jr.,Jr,"Beacon, N.Y.",Beacon,NY,domestic,,0,https://cornellbigred.com/sports/equestrian/roster/2025-26
eq_52b6534ee25a,Alexa,Carey,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Cornell,Pre-Novice,Other,So.,So,"Los Altos Hills, Calif.",Los Altos Hills,CA,domestic,Crystal Springs Uplands School,0,https://cornellbigred.com/sports/equestrian/roster/2025-26
eq_68a3fa11de80,Taylor,Carpentieri,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Cornell,,UNK,Fr.,Fr,,,,unknown,,0,https://cornellbigred.com/sports/equestrian/roster/2025-26
eq_cae2dd2d2b9c,Emerson,Cassidy,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Cornell,Intermediate Fences/Limit Flat,Multi,So.,So,"New York, N.Y.",New York,NY,domestic,Riverdale Country School,0,https://cornellbigred.com/sports/equestrian/roster/2025-26
eq_4e004caa6f9d,Isabella,Colangelo,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Cornell,Novice,Other,So.,So,"New Bedford, Mass.",New Bedford,MA,domestic,New Bedford HS,0,https://cornellbigred.com/sports/equestrian/roster/2025-26
eq_590e755bf196,Uma,Comfort,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Cornell,Pre-Novice,Other,Sr.,Sr,"Bridgehampton, N.Y.",Bridgehampton,NY,domestic,Bridgehampton HS,0,https://cornellbigred.com/sports/equestrian/roster/2025-26
eq_cea9b97e71b9,Arlene,Cortez,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Cornell,Introductory,Other,5th,Gr,"Santa Ana, Calif.",Santa Ana,CA,domestic,Santa Ana High School,0,https://cornellbigred.com/sports/equestrian/roster/2025-26
eq_363d23231cbb,Savannah,Fasner,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Cornell,Limit Flat/Limit Fences,Multi,Fr.,Fr,"Smithtown, N.Y.",Smithtown,NY,domestic,Hauppauge HS,0,https://cornellbigred.com/sports/equestrian/roster/2025-26
eq_e475fbec90ef,Natalie,Ferguson,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Cornell,Limit Flat/Limit Fences,Multi,Sr.,Sr,"Richmond, Va.",Richmond,VA,domestic,Glen Allen High School,0,https://cornellbigred.com/sports/equestrian/roster/2025-26
eq_1a356fc8f6f2,Arabella,Ferris,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Cornell,Limit Flat/Limit Fences,Multi,Fr.,Fr,"Syracuse, N.Y.",Syracuse,NY,domestic,Manlius Pebble HS,0,https://cornellbigred.com/sports/equestrian/roster/2025-26
eq_680e2459b1cd,Amelia,Gallagher,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Cornell,Limit Flat/Limit Fences,Multi,Fr.,Fr,"St. Augustine, Fla.",St. Augustine,FL,domestic,Tocoi Creek HS,0,https://cornellbigred.com/sports/equestrian/roster/2025-26
eq_aba3ddc42904,Riley,Gerardo,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Cornell,Open Flat/Open Fences,Multi,Sr.,Sr,"State College, Pa.",State College,PA,domestic,State College Area High School,0,https://cornellbigred.com/sports/equestrian/roster/2025-26
eq_ab12f5de9981,Evelyn,Gurvich,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Cornell,Limit Flat/Limit Fences,Multi,Sr.,Sr,"Brooklyn, N.Y.",Brooklyn,NY,domestic,,0,https://cornellbigred.com/sports/equestrian/roster/2025-26
eq_011792161cc0,Grace,Kilarjian,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Cornell,Introductory,Other,So.,So,"Rockville Centre, N.Y.",Rockville Centre,NY,domestic,South side HS,0,https://cornellbigred.com/sports/equestrian/roster/2025-26
eq_52bf29b7f657,Sunny,Liu,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Cornell,Limit Flat/Limit Fences,Multi,Jr.,Jr,"Walnut, Calif.",Walnut,CA,domestic,Walnut High School,0,https://cornellbigred.com/sports/equestrian/roster/2025-26
eq_d336e6411339,Gabrielle,Maggio,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Cornell,,UNK,Fr.,Fr,,,,unknown,,0,https://cornellbigred.com/sports/equestrian/roster/2025-26
eq_60b2b0d2b6ca,Sydney,Mallow,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Cornell,Pre-Novice,Other,Fr.,Fr,"New City, N.Y.",New City,NY,domestic,Dwight-Englewood,0,https://cornellbigred.com/sports/equestrian/roster/2025-26
eq_43a4172672c9,Erin,Morera,,,,,,,equestrian,2025-26,2025-26,D1,Women,Ivy League,Cornell,Open Flat,Flat,So.,So,"Greenwich, Conn.",Greenwich,CT,domestic,Greenwich Academy,1,https://cornellbigred.com/sports/equestrian/roster/2025-26
