athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
at_9ea95d9be088,Anika,Joling,,,,,,,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Base/Tumbler,Multi,Fr.,Fr,"Pittsburgh, Pa.",Pittsburgh,PA,domestic,Chartiers Valley,0,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_3d359ee71f12,Nicole,Anderson,,,,,,,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Base,Base,So.,So,"Katy, Texas",Katy,TX,domestic,Tompkins,0,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_216dc0d1ee61,Paige,Morgan,,,,,,,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Tumbler,Tumbler,Fr.,Fr,"Murfreesboro, Tenn.",Murfreesboro,TN,domestic,Homeschool,1,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_471664cb83a5,Tia,Fluellen,,,,,,,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Tumbler,Tumbler,So.,So,"Marietta, Ga.",Marietta,GA,domestic,Lassiter,0,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_83e1f5ef87c2,Sadie,Hunt,,,,,,,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Base/Tumbler,Multi,Jr.,Jr,"Chesterfield, Mich.",Chesterfield,MI,domestic,Cardinal Mooney,0,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_f0ba52ad743e,Mckenna,Shane,,,,,,,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Base/Tumbler,Multi,Fr.,Fr,"Canton, Ohio",Canton,OH,domestic,Walsh Jesuit,0,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_2614819e4e67,Katilyn,Blakeney,,,,,,,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Base,Base,So.,So,"Charlotte, N.C.",Charlotte,NC,domestic,Mountain Island Charter,0,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_01908d242bf7,Allison,Gonyo,,,,,,,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Base/Tumbler,Multi,Fr.,Fr,"West Des Moines, Iowa",West Des Moines,IA,domestic,Dowling Catholic,0,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_85cdb198c67c,Mackenzie,Linegar,,,,,,,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Base,Base,Sr.,Sr,"Easton, Pa.",Easton,PA,domestic,Easton Area,0,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_03cd10bc1dca,Brielle,Ehasz,,,,,,,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Base/Tumbler,Multi,So.,So,"Phillipsburg, N.J.",Phillipsburg,NJ,domestic,Phillipsburg,0,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_7e76ea18631d,Andresa,Orendain,,,,,,,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Top/Tumbler,Multi,So.,So,"Katy, Texas",Katy,TX,domestic,Culver Academy,1,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_125aef16452f,Meagan,Henry,,,,,,,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Top/Tumbler,Multi,So.,So,"Charlotte, N.C.",Charlotte,NC,domestic,Providence,0,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_5966364c716f,Alyssa,Westbrook,,,,,,,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Base/Tumbler,Multi,Jr.,Jr,"Frederick, Md.",Frederick,MD,domestic,Tuscarora,0,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_91a16cd82b1c,Isabella,Schrout,,,,,,,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Top,Top,Sr.,Sr,"Morgantown, W. Va.",Morgantown,WV,domestic,University High School,0,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_da30e3d0e8c3,Sarah,Brady,,,,,,,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Base/Tumbler,Multi,Sr.,Sr,"Pittsburgh, Pa.",Pittsburgh,PA,domestic,Cornerstone Christian,0,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_2b3cd2e930d5,Brianna,Buchear,,,,,,,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Base,Base,Fr.,Fr,"Cameron, N.C.",Cameron,NC,domestic,Ascend Leadership Academy,1,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_d0a767ad1bcf,Anna,Audet,,,,,,,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Base/Tumbler,Multi,Sr.,Sr,"St. John's, Fla.",St. John's,FL,domestic,Creekside,0,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_7490895fac33,Grace,Carroll,,,,,,,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Top/Tumbler,Multi,Jr.,Jr,"Kingsville, Md.",Kingsville,MD,domestic,Concordia Prepatory,0,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_932fdf6f9116,Payton,Lanier,,,,,,,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,Top/Tumbler,Multi,Jr.,Jr,"Bloomington, Ill.",Bloomington,IL,domestic,University High School,0,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_f0f4ad9c7853,Madison,Quinlan,,,,,,,acro_tumbling,2025-26,2026,D2,Women,Conference Carolinas,Belmont Abbey,,UNK,Gr.,Gr,"Covington, La.",Covington,LA,domestic,Christ Episcopal,0,https://abbeyathletics.com/sports/acrobatics-tumbling/roster/2026
at_c33fcb2d4713,Grace,Boisvert,Business,,5-5,65.0,,,acro_tumbling,2025-26,2026,D2,Women,Northeast-10 Conference,American International,Base,Base,Sr.,Sr,"Uxbridge, MA",Uxbridge,MA,domestic,Uxbridge,0,https://aicyellowjackets.com/sports/acrobatics-tumbling/roster/2026
at_6ef38c194699,Kailey,Arroyo,Psychology,,5-6,66.0,,,acro_tumbling,2025-26,2026,D2,Women,Northeast-10 Conference,American International,Base,Base,So.,So,"Ashland, MA",Ashland,MA,domestic,Ashland High School,0,https://aicyellowjackets.com/sports/acrobatics-tumbling/roster/2026
at_20e9df760e09,Esperanza,Rivera,Psychology,,5-1,61.0,,,acro_tumbling,2025-26,2026,D2,Women,Northeast-10 Conference,American International,Tumbler/Flyer,Multi,So.,So,"West Warren, MA",West Warren,MA,domestic,Tantasqua Regional,0,https://aicyellowjackets.com/sports/acrobatics-tumbling/roster/2026
at_21d1f87dbf41,Jocelyn,Doura,Occupational Therapy,,5-3,63.0,,,acro_tumbling,2025-26,2026,D2,Women,Northeast-10 Conference,American International,Base/Tumbler,Multi,Fr.,Fr,"Pascoag, RI",Pascoag,RI,domestic,Beacon Charter,0,https://aicyellowjackets.com/sports/acrobatics-tumbling/roster/2026
at_8b59d1dfea1d,Ellyanna,Azor-Sorel,Nursing,,5-2,62.0,,,acro_tumbling,2025-26,2026,D2,Women,Northeast-10 Conference,American International,Base,Base,So.,So,"Queens, NY",Queens,NY,domestic,Rockaway Collegiate,0,https://aicyellowjackets.com/sports/acrobatics-tumbling/roster/2026
at_844ecd59be8a,Kashera,Stewart,Exercise Science,,5-6,66.0,,,acro_tumbling,2025-26,2026,D2,Women,Northeast-10 Conference,American International,Base,Base,Fr.,Fr,"Hamden, CT",Hamden,CT,domestic,Hamden,0,https://aicyellowjackets.com/sports/acrobatics-tumbling/roster/2026
at_bd230eee979f,Fantasia,Manneh,Human Biology,,5-4,64.0,,,acro_tumbling,2025-26,2026,D2,Women,Northeast-10 Conference,American International,Base,Base,So.,So,"Worcester, MA",Worcester,MA,domestic,South Community,0,https://aicyellowjackets.com/sports/acrobatics-tumbling/roster/2026
at_1bff876d919d,Leyla,Cabral,Psychology,,4-11,59.0,,,acro_tumbling,2025-26,2026,D2,Women,Northeast-10 Conference,American International,Base,Base,Fr.,Fr,"New Bedford, MA",New Bedford,MA,domestic,Greater New Bedford Voc. Tech.,0,https://aicyellowjackets.com/sports/acrobatics-tumbling/roster/2026
at_140ef4be9ecb,Miranda,Pues,Criminal Justice,,5-2,62.0,,,acro_tumbling,2025-26,2026,D2,Women,Northeast-10 Conference,American International,Tumbler/Flyer,Multi,So.,So,"Danbury, CT",Danbury,CT,domestic,Danbury,0,https://aicyellowjackets.com/sports/acrobatics-tumbling/roster/2026
at_47177a0233b4,Nykole,Monroy,,,,,,,acro_tumbling,2025-26,2026,D2,Women,Northeast-10 Conference,American International,Base,Base,So.,So,"Methuen, MA",Methuen,MA,domestic,Methuen,0,https://aicyellowjackets.com/sports/acrobatics-tumbling/roster/2026
at_ec0b84704eaf,Marissa,Osorio-Johnson,,,,,,,acro_tumbling,2025-26,2026,D2,Women,Northeast-10 Conference,American International,Base,Base,So.,So,"Providence, RI",Providence,RI,domestic,Central,0,https://aicyellowjackets.com/sports/acrobatics-tumbling/roster/2026
at_96d908f593c7,Kylee,Rinker,Occupational Therapy,,5-4,64.0,,,acro_tumbling,2025-26,2026,D2,Women,Northeast-10 Conference,American International,Base,Base,Sr.,Sr,"Henryville, PA",Henryville,PA,domestic,Pocono Mountain East,0,https://aicyellowjackets.com/sports/acrobatics-tumbling/roster/2026
at_67ba0df2a20b,Nevaeh,Graham,Athletic Administration,,5-6,66.0,,,acro_tumbling,2025-26,2026,D2,Women,Northeast-10 Conference,American International,Base/Tumbler,Multi,Sr.,Sr,"Fitchburg, MA",Fitchburg,MA,domestic,Fitchburg,0,https://aicyellowjackets.com/sports/acrobatics-tumbling/roster/2026
at_aecec3ec8788,Serenity,Salinas,Sports Management,,5-5,65.0,,,acro_tumbling,2025-26,2026,D2,Women,Northeast-10 Conference,American International,Base,Base,Fr.,Fr,"Bridgeport, CT",Bridgeport,CT,domestic,Bullard Havens Technical,0,https://aicyellowjackets.com/sports/acrobatics-tumbling/roster/2026
at_f979ba5f4a00,Kaytence,Vining,History,,5-1,61.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Atlantic Collegiate Conference,Caldwell,Top/Tumbler,Multi,Sr.,Sr,"Latham, N.Y.",Latham,NY,domestic,Shaker,0,https://caldwellathletics.com/sports/acrobatics-tumbling/roster/2026
at_d0e504629c2f,Kamorah,Bush,Psychology,,5-0,60.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Atlantic Collegiate Conference,Caldwell,Top/Tumbler,Multi,So.,So,"Newark, N.J.",Newark,NJ,domestic,Overbrook,0,https://caldwellathletics.com/sports/acrobatics-tumbling/roster/2026
at_446ca5bb2634,Jaida,Soto,Business / English,,5-2,62.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Atlantic Collegiate Conference,Caldwell,Top,Top,So.,So,"North Brunswick, N.J.",North Brunswick,NJ,domestic,North Brunswick Township,0,https://caldwellathletics.com/sports/acrobatics-tumbling/roster/2026
at_7d6cb1f9925f,Emely,Rodrigues,Criminal Justice,,5-2,62.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Atlantic Collegiate Conference,Caldwell,Utility,Other,So.,So,"Newark, N.J.",Newark,NJ,domestic,St. Thomas Aquinas High School,0,https://caldwellathletics.com/sports/acrobatics-tumbling/roster/2026
at_b3f7f9ed9808,Isabella,Garcia,Business Administration,,5-2,62.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Atlantic Collegiate Conference,Caldwell,Top/Base/Tumbler,Multi,Sr.,Sr,"South River, N.J.",South River,NJ,domestic,St. Thomas Aquinas High School,0,https://caldwellathletics.com/sports/acrobatics-tumbling/roster/2026
at_63817e75db5e,Melania,Castro,Nursing/Public Health,,5-2,62.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Atlantic Collegiate Conference,Caldwell,Base,Base,So.,So,"Teaneck, N.J.",Teaneck,NJ,domestic,Teaneck,0,https://caldwellathletics.com/sports/acrobatics-tumbling/roster/2026
at_8e71085b0ae8,Jill,Riggio,Psychology,,5-0,60.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Atlantic Collegiate Conference,Caldwell,Base/Tumbler,Multi,Sr.,Sr,"East Windsor, N.J.",East Windsor,NJ,domestic,Bridgeway Academy,1,https://caldwellathletics.com/sports/acrobatics-tumbling/roster/2026
at_8617460e572b,LeighAnn,Walkoviak,Sociology,MIddlesex College,5-7,67.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Atlantic Collegiate Conference,Caldwell,Utility,Other,Fr.,Fr,"No. Brunswick, N.J.",No. Brunswick,NJ,domestic,No. Brunswick,0,https://caldwellathletics.com/sports/acrobatics-tumbling/roster/2026
at_e7c8420ea4ae,Piper,Fitzmaurice,Exercise Science,University of Maryland,5-2,62.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Atlantic Collegiate Conference,Caldwell,Top/Tumbler,Multi,Sr.,Sr,"Middletown, N.J.",Middletown,NJ,domestic,Marine Academy,1,https://caldwellathletics.com/sports/acrobatics-tumbling/roster/2026
at_b5af60e23edb,Jahnessa,Morales,Psychology,,5-4,64.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Atlantic Collegiate Conference,Caldwell,Base,Base,Jr.,Jr,"Hamburg, N.J.",Hamburg,NJ,domestic,Sussex County Tech,0,https://caldwellathletics.com/sports/acrobatics-tumbling/roster/2026
at_f6725684dcc9,Holly,Bruffy,Business Administration,,5-0,60.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Atlantic Collegiate Conference,Caldwell,Top/Tumbler,Multi,Fr.,Fr,"North Haledon, N.J.",North Haledon,NJ,domestic,Eastern Christian,0,https://caldwellathletics.com/sports/acrobatics-tumbling/roster/2026
at_ce40e150ac71,Cam'Ariah,Taylor,Exercise Science,,5-0,60.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Atlantic Collegiate Conference,Caldwell,Top,Top,Fr.,Fr,"Millville, N.J.",Millville,NJ,domestic,Millville,0,https://caldwellathletics.com/sports/acrobatics-tumbling/roster/2026
at_467f3e075375,Neriyah,Sims,Psychology,,4-11,59.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Atlantic Collegiate Conference,Caldwell,Utility,Other,So.,So,"Bayonne, N.J.",Bayonne,NJ,domestic,Bayonne,0,https://caldwellathletics.com/sports/acrobatics-tumbling/roster/2026
at_b06298c2a505,Mariana,Aiello,Medical Imaging,,5-5,65.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Atlantic Collegiate Conference,Caldwell,Base/Tumbler,Multi,Jr.,Jr,"Concord, Calif.",Concord,CA,domestic,Carondelet,0,https://caldwellathletics.com/sports/acrobatics-tumbling/roster/2026
at_72f649ce6891,Alexa,Bayne,Criminal Justice,,5-4,64.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Atlantic Collegiate Conference,Caldwell,Base/Tumbler,Multi,Jr.,Jr,"Kingwood Township, N.J.",Kingwood Township,NJ,domestic,Delaware Valley Regional,0,https://caldwellathletics.com/sports/acrobatics-tumbling/roster/2026
at_c3081eb4604d,Alexa,Foster,Business,,5-3,63.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Atlantic Collegiate Conference,Caldwell,Base/Tumbler,Multi,So.,So,"Marlton, N.J.",Marlton,NJ,domestic,Camden Catholic,0,https://caldwellathletics.com/sports/acrobatics-tumbling/roster/2026
at_b796ba3832b5,Mariajose,Bucheli,Public Health Education,,5-3,63.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Atlantic Collegiate Conference,Caldwell,Base,Base,Jr.,Jr,"Belleville, N.J.",Belleville,NJ,domestic,Belleville,0,https://caldwellathletics.com/sports/acrobatics-tumbling/roster/2026
at_242919a8cf96,Kayla,Willis,Business Administration,CCBC Essex,5-7,67.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Atlantic Collegiate Conference,Caldwell,Base,Base,Gr.,Gr,"Union, N.J.",Union,NJ,domestic,Union,0,https://caldwellathletics.com/sports/acrobatics-tumbling/roster/2026
at_d7050318bfc3,Kaelynne,Sparacio,Medical Imaging,,5-4,64.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Atlantic Collegiate Conference,Caldwell,Base/Tumbler,Multi,So.,So,"Farmingville, N.Y.",Farmingville,NY,domestic,Sachem East,0,https://caldwellathletics.com/sports/acrobatics-tumbling/roster/2026
at_a69c9772adc1,Avery,Dunn,Exercise Science,,5-5,65.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Atlantic Collegiate Conference,Caldwell,Base/Tumbler,Multi,So.,So,"Chalfont, P.A.",Chalfont,PA,domestic,Central Bucks South,0,https://caldwellathletics.com/sports/acrobatics-tumbling/roster/2026
at_d07da11450b8,Zimayah,Mosley,Nursing,,5-1,61.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Atlantic Collegiate Conference,Caldwell,Base,Base,Jr.,Jr,"Newark, N.J.",Newark,NJ,domestic,Arts,0,https://caldwellathletics.com/sports/acrobatics-tumbling/roster/2026
at_3c037635b0ae,Alexandria,Irvin,Medical Imaging,,5-7,67.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Atlantic Collegiate Conference,Caldwell,Base,Base,Fr.,Fr,"Pennsauken, N.J.",Pennsauken,NJ,domestic,Camden Catholic,0,https://caldwellathletics.com/sports/acrobatics-tumbling/roster/2026
at_02f89b202088,Megan,Luthke,Exercise Science,,5-1,61.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Atlantic Collegiate Conference,Caldwell,Base/Tumbler,Multi,Fr.,Fr,"Burlington Township, N.J.",Burlington Township,NJ,domestic,Burlington Township,0,https://caldwellathletics.com/sports/acrobatics-tumbling/roster/2026
at_983a32293fa6,Jackie,Vereen,Biology,,5-1,61.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Atlantic Collegiate Conference,Caldwell,Base/Tumbler,Multi,So.,So,"Suffolk, Va.",Suffolk,VA,domestic,Liberty University Online Academy,1,https://caldwellathletics.com/sports/acrobatics-tumbling/roster/2026
at_0b42f22d6f7c,Erin,Schmitt,Liberal Studies,,"5'4""",64.0,,,acro_tumbling,2025-26,2026,D2,Women,Pacific West Conference,Azusa Pacific,Base Base,Base,Sr.,Sr,"Cypress, Calif.",Cypress,CA,domestic,Los Alamitos High School,0,https://athletics.apu.edu/sports/acrobatics-tumbling/roster/2026
at_9367304e15f1,Emily,Sheneman,Psychology,,"5'7""",67.0,,,acro_tumbling,2025-26,2026,D2,Women,Pacific West Conference,Azusa Pacific,Base/Tumbler Base,Multi,Sr.,Sr,"Stockton, Calif.",Stockton,CA,domestic,Saint Mary's High School,0,https://athletics.apu.edu/sports/acrobatics-tumbling/roster/2026
at_44a50ff76ae8,Carly,Jackman,Graphic Design,,,,,,acro_tumbling,2025-26,2026,D2,Women,Pacific West Conference,Azusa Pacific,Top Top,Top,Jr.,Jr,"Lake Oswego, Oreg.",Lake Oswego,OR,domestic,Lake Oswego HS,0,https://athletics.apu.edu/sports/acrobatics-tumbling/roster/2026
at_fdb6886a3a93,Sara,Murphy,Marketing,,,,,,acro_tumbling,2025-26,2026,D2,Women,Pacific West Conference,Azusa Pacific,Base/Tumbler Base/Tumbler,Multi,Jr.,Jr,"Duvall, Wash.",Duvall,WA,domestic,Cedarcrest HS,0,https://athletics.apu.edu/sports/acrobatics-tumbling/roster/2026
at_37e25999cf7e,Hannah,Noble,Kinesiology,,,,,,acro_tumbling,2025-26,2026,D2,Women,Pacific West Conference,Azusa Pacific,Top Top,Top,Jr.,Jr,"Fremont, Calif.",Fremont,CA,domestic,John F. Kennedy HS,0,https://athletics.apu.edu/sports/acrobatics-tumbling/roster/2026
at_f96844f24708,Avalon,Cope,Allied Health,,,,,,acro_tumbling,2025-26,2026,D2,Women,Pacific West Conference,Azusa Pacific,Top/ Tumbler Top/ Tumbler,Multi,So.,So,"Newbury Park, Calif.",Newbury Park,CA,domestic,Newbury Park High School,0,https://athletics.apu.edu/sports/acrobatics-tumbling/roster/2026
at_d94494c852e8,Gabby,Fendrich,Public Relations,,"4'11""",59.0,,,acro_tumbling,2025-26,2026,D2,Women,Pacific West Conference,Azusa Pacific,Top/ Base/ Tumbler Top/ Base/ Tumbler,Multi,Sr.,Sr,"Eugene, Ore.",Eugene,OR,domestic,Sheldon High School,0,https://athletics.apu.edu/sports/acrobatics-tumbling/roster/2026
at_72d79c572c97,Abigail,Cortez,Public Relations,,"5'7""",67.0,,,acro_tumbling,2025-26,2026,D2,Women,Pacific West Conference,Azusa Pacific,Top Top,Top,Sr.,Sr,"Las Vegas, Nev.",Las Vegas,NV,domestic,Odyssey High School,0,https://athletics.apu.edu/sports/acrobatics-tumbling/roster/2026
at_d2bee1324727,Janelle,Eberspecher,Kinesiology,,,,,,acro_tumbling,2025-26,2026,D2,Women,Pacific West Conference,Azusa Pacific,Base Base,Base,So.,So,"Turlock, Calif.",Turlock,CA,domestic,Turlock High School,0,https://athletics.apu.edu/sports/acrobatics-tumbling/roster/2026
at_81d1cccfa752,Nora,de Walle,Liberal Studies,,"5'6""",66.0,,,acro_tumbling,2025-26,2026,D2,Women,Pacific West Conference,Azusa Pacific,Base/Tumbler,Multi,Fr.,Fr,"Calgary, Alberta",Calgary,,international,Calgary Christian,0,https://athletics.apu.edu/sports/acrobatics-tumbling/roster/2026
at_402db1760974,Keelie,Adsit,Business Management,,,,,,acro_tumbling,2025-26,2026,D2,Women,Pacific West Conference,Azusa Pacific,Base Base,Base,So.,So,"Bothell, Wash.",Bothell,WA,domestic,Innovation Lab Highschool,0,https://athletics.apu.edu/sports/acrobatics-tumbling/roster/2026
at_29ff87115bcf,Sophia,Colebrooke,Kinesiology,,,,,,acro_tumbling,2025-26,2026,D2,Women,Pacific West Conference,Azusa Pacific,Back Base/Tumbler,Multi,Fr.,Fr,"Newbury Park, Calif.",Newbury Park,CA,domestic,Oaks Christian,0,https://athletics.apu.edu/sports/acrobatics-tumbling/roster/2026
at_16e22b060554,Addison,Nelson,Kinesiology,,"5'5""",65.0,,,acro_tumbling,2025-26,2026,D2,Women,Pacific West Conference,Azusa Pacific,Top/Base/Tumbler,Multi,Fr.,Fr,Maple Valley Wash.,Maple Valley Wash.,,international,Tahoma HS,0,https://athletics.apu.edu/sports/acrobatics-tumbling/roster/2026
at_e83ab018b632,Josie,Purcell,Allied Health,,"5'5""",65.0,,,acro_tumbling,2025-26,2026,D2,Women,Pacific West Conference,Azusa Pacific,Base Base,Base,Sr.,Sr,"Rockwall, Tex.",Rockwall,,international,Rockwall High School,0,https://athletics.apu.edu/sports/acrobatics-tumbling/roster/2026
at_88299f71d987,Brooklyn,Schrock,,,,,,,acro_tumbling,2025-26,2026,D2,Women,Pacific West Conference,Azusa Pacific,Top/Tumbler,Multi,Fr.,Fr,Fr.,Fr.,,international,,0,https://athletics.apu.edu/sports/acrobatics-tumbling/roster/2026
at_1d356a0c13c1,Addison,Day-Esson,Biological Sciences,,,,,,acro_tumbling,2025-26,2026,D2,Women,Pacific West Conference,Azusa Pacific,Top Top,Top,So.,So,"Tacoma, Wash.",Tacoma,WA,domestic,Bellarmine Preparatory School,1,https://athletics.apu.edu/sports/acrobatics-tumbling/roster/2026
at_d0800709a505,Jenna,Moisio,Business Management,,"5'6""",66.0,,,acro_tumbling,2025-26,2026,D2,Women,Pacific West Conference,Azusa Pacific,Base/ Tumbler Base/ Tumbler,Multi,Sr.,Sr,"La Verne, Calif.",La Verne,CA,domestic,Bonita High School,0,https://athletics.apu.edu/sports/acrobatics-tumbling/roster/2026
at_93c49464ac62,Nicole,Akomeah,Psychology,,"5'2""",62.0,,,acro_tumbling,2025-26,2026,D2,Women,Pacific West Conference,Azusa Pacific,Top/Tumbler,Multi,Fr.,Fr,"Brentwood, Tenn.",Brentwood,TN,domestic,Brentwood HS,0,https://athletics.apu.edu/sports/acrobatics-tumbling/roster/2026
at_c5c2ac714e76,Samantha,Bray,Allied Health,,,,,,acro_tumbling,2025-26,2026,D2,Women,Pacific West Conference,Azusa Pacific,Base Base,Base,So.,So,"Orange, Calif.",Orange,CA,domestic,El Modena High School,0,https://athletics.apu.edu/sports/acrobatics-tumbling/roster/2026
at_baf6a10d7b8e,Audria,Quintero,Kinesiology,,,,,,acro_tumbling,2025-26,2026,D2,Women,Pacific West Conference,Azusa Pacific,Base Base,Base,So.,So,"Paso Robles, Calif.",Paso Robles,CA,domestic,Paso Robles High School,0,https://athletics.apu.edu/sports/acrobatics-tumbling/roster/2026
at_d131ed707533,Kendall,Sullivan,Psychology,,,,,,acro_tumbling,2025-26,2026,D2,Women,Pacific West Conference,Azusa Pacific,Base/Tumbler Base/Tumbler,Multi,Jr.,Jr,"Corona, Calif.",Corona,CA,domestic,Santiago HS,0,https://athletics.apu.edu/sports/acrobatics-tumbling/roster/2026
at_b521214032cb,Keira,Still,Kinesiology,,,,,,acro_tumbling,2025-26,2026,D2,Women,Pacific West Conference,Azusa Pacific,Base Base,Base,So.,So,"Mansfield, Ontario, Canada",Mansfield,,international,Centre Dufferin District High School,0,https://athletics.apu.edu/sports/acrobatics-tumbling/roster/2026
at_ae9e82ae6d7a,Tobbie,Mince,Kinesiology,,,,,,acro_tumbling,2025-26,2026,D2,Women,Pacific West Conference,Azusa Pacific,Base Base,Base,So.,So,"Dupont, Was.",Dupont,,international,Bellarmine Preparatory School,1,https://athletics.apu.edu/sports/acrobatics-tumbling/roster/2026
at_f60e39c10275,Makenzie,Taylor,,,5-3,63.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Intercollegiate Athletic Association,Bluefield State,Base/Top/Tumbler,Multi,So.,So,"Beckley, WV",Beckley,WV,domestic,Independence High School,0,https://gobstate.com/sports/acrobatics-tumbling/roster/2026
at_5deda15d863f,Mackenzie,Varney,,,5-2,62.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Intercollegiate Athletic Association,Bluefield State,Base/Top/Tumbler,Multi,So.,So,"Beckley, WV",Beckley,WV,domestic,Independence High School,0,https://gobstate.com/sports/acrobatics-tumbling/roster/2026
at_088bce5eb7e7,Taylor,Mabry,,,5-4,64.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Intercollegiate Athletic Association,Bluefield State,Base/Tumbler,Multi,Fr.,Fr,"Bluefield, WV",Bluefield,WV,domestic,Bluefield High School,0,https://gobstate.com/sports/acrobatics-tumbling/roster/2026
at_f29f74d5c626,Myaunna,Edwards,,,4-11,59.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Intercollegiate Athletic Association,Bluefield State,Base/Tumbler,Multi,Fr.,Fr,"Princeton, WV",Princeton,WV,domestic,Princeton High School,0,https://gobstate.com/sports/acrobatics-tumbling/roster/2026
at_2167a4983cff,Emily,Warfield,,,4-11,59.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Intercollegiate Athletic Association,Bluefield State,Top,Top,Fr.,Fr,"Bluefield, WV",Bluefield,WV,domestic,Summit Christian,0,https://gobstate.com/sports/acrobatics-tumbling/roster/2026
at_7af9f2bc9988,Allyson,Austin,,,5-7,67.0,,,acro_tumbling,2025-26,2026,D2,Women,Central Intercollegiate Athletic Association,Bluefield State,Base/Tumbler,Multi,So.,So,"Bluefield,VA",Bluefield,VA,domestic,Graham High School,0,https://gobstate.com/sports/acrobatics-tumbling/roster/2026
